code,name,adversary,guarantor,trust_type,note
usa,США,chn,,guarantor,Гарант сети двусторонних обязательств
chn,КНР,usa,,guarantor,"Внедоговорное согласование с РФ, обязательства перед КНДР"
jpn,Япония,chn,usa,treaty,Договор о взаимном сотрудничестве и безопасности 1960 г.
twn,Тайвань,chn,usa,patronage,"Акт об отношениях с Тайванем 1979 г., договора нет"
kor,Республика Корея,prk,usa,treaty,Договор о взаимной обороне 1953 г.
prk,КНДР,kor,chn,treaty,Договор о дружбе и взаимной помощи 1961 г.
ind,Индия,chn,,hedging,"Выбор стороны не производится, диверсификация поставщиков"
aus,Австралия,chn,usa,treaty,"АНЗЮС 1951 г., AUKUS 2021 г."
phl,Филиппины,chn,usa,treaty,Договор о взаимной обороне 1951 г.
idn,Индонезия,chn,,hedging,Доктрина независимой и активной внешней политики 1948 г.
