идентификатор,автор,модель_1,модель_2
chn-2020,3,3,3
chn-2018,2,3,3
phl-2018,2,3,0
twn-2019,2,2,0
kor-2016,3,2,2
usa-2015,2,2,0
usa-2021,0,0,0
prk-2022,2,2,2
jpn-2022,2,2,2
twn-2022,2,3,2
chn-2023,3,3,3
phl-2025,3,3,3
twn-2017,2,2,0
kor-2022,2,2,2
prk-2016,0,2,2
twn-2021,2,2,2
idn-2017,2,3,2
prk-2019,3,2,3
phl-2024,3,3,3
chn-2025,3,2,2
phl-2023,3,3,3
usa-2025,2,0,0
chn-2021,2,3,3
jpn-2015,2,2,2
usa-2017,2,2,0
ind-2023,0,0,0
kor-2025,3,2,2
phl-2020,2,2,2
twn-2025,2,2,2
twn-2020,2,2,2
usa-2020,0,0,0
twn-2016,2,2,0
chn-2017,3,3,2
jpn-2023,2,2,2
usa-2018,2,3,3
chn-2019,3,3,3
ind-2024,0,0,0
phl-2016,2,3,3
ind-2017,3,3,2
usa-2022,2,2,2
jpn-2020,2,2,2
prk-2023,3,2,2
phl-2015,2,3,3
kor-2015,3,3,3
idn-2024,2,2,0
twn-2015,0,0,0
usa-2023,2,2,2
usa-2019,2,0,0
ind-2022,3,3,3
aus-2023,3,3,3
prk-2015,3,3,3
jpn-2019,0,0,0
ind-2020,3,3,3
phl-2021,2,3,3
prk-2025,3,2,2
idn-2020,2,0,2
twn-2023,2,2,2
phl-2019,3,1,3
idn-2019,2,2,2
kor-2024,3,2,2
prk-2017,3,3,2
kor-2019,3,3,3
jpn-2024,2,2,2
idn-2022,2,0,2
idn-2023,2,0,2
chn-2016,3,3,3
idn-2018,2,3,2
usa-2024,0,0,0
twn-2018,0,2,0
prk-2024,3,0,2
kor-2017,3,3,2
jpn-2017,2,2,2
ind-2021,0,0,0
jpn-2025,2,2,2
kor-2020,3,3,3
twn-2024,2,2,2
idn-2016,3,3,3
usa-2016,3,3,3
jpn-2018,0,2,0
jpn-2016,2,2,2
aus-2024,2,2,0
chn-2024,3,3,3
prk-2020,3,3,3
idn-2021,2,0,0
aus-2022,2,3,2
kor-2023,3,3,2
chn-2015,2,3,3
chn-2022,3,3,3
aus-2019,0,0,0
jpn-2021,2,2,2
aus-2020,0,0,0
aus-2025,2,0,0
