идентификатор,основание
aus-2015,"Поиск признан недостаточным, единица кодированию не подлежит"
aus-2016,"Поиск признан недостаточным, единица кодированию не подлежит"
aus-2017,"Поиск признан недостаточным, единица кодированию не подлежит"
aus-2018,"Поиск признан недостаточным, единица кодированию не подлежит"
aus-2021,"Поиск признан недостаточным, единица кодированию не подлежит"
idn-2015,"Поиск признан недостаточным, единица кодированию не подлежит"
idn-2025,"Поиск признан недостаточным, единица кодированию не подлежит"
ind-2015,"Поиск признан недостаточным, единица кодированию не подлежит"
ind-2016,"Поиск признан недостаточным, единица кодированию не подлежит"
ind-2018,"Поиск признан недостаточным, единица кодированию не подлежит"
ind-2019,"Поиск признан недостаточным, единица кодированию не подлежит"
ind-2025,"Поиск признан недостаточным, единица кодированию не подлежит"
kor-2018,"Поиск признан недостаточным, единица кодированию не подлежит"
kor-2021,"Поиск признан недостаточным, единица кодированию не подлежит"
phl-2017,"Поиск признан недостаточным, единица кодированию не подлежит"
phl-2022,"Поиск признан недостаточным, единица кодированию не подлежит"
prk-2018,"Поиск признан недостаточным, единица кодированию не подлежит"
prk-2021,"Поиск признан недостаточным, единица кодированию не подлежит"
