date,agent_a,agent_b,action,description,source,url
2019-06,chn,phl,таран и потопление,"Китайское судно протаранило и потопило филиппинское рыболовное судно Gem-Ver у банки Рид, двадцать два члена экипажа оставлены в воде и подобраны вьетнамскими рыбаками.",Свод открытых сведений об инциденте с указанием участников и дат,https://en.wikipedia.org/wiki/2019_Reed_Bank_incident
2020,chn,phl,наведение системы управления огнём,Корабль ВМС НОАК с бортовым номером 514 навёл систему управления огнём на филиппинский корвет BRP Conrado Yap в районе островов Спратли.,"Defense News, Asia-Pacific",https://www.defensenews.com/global/asia-pacific/2026/03/24/chinese-corvette-recently-trained-its-weapons-on-philippine-frigate-officials-confirm/
2021-03,chn,phl,массовое присутствие и отказ покинуть район,"Около двухсот двадцати китайских судов, отнесённых филиппинской стороной к морскому ополчению, сосредоточились у рифа Уитсан и не покинули район после дипломатического протеста.",Свод открытых сведений об инциденте с указанием участников и дат,https://en.wikipedia.org/wiki/Whitsun_Reef_incident
2021-11,chn,phl,блокирование и водомёт,"Береговая охрана КНР заблокировала два деревянных судна снабжения и применила по ним водомёты, снабжение сорвано.","Asia Maritime Transparency Initiative, CSIS, Shifting Tactics at Second Thomas Shoal",https://amti.csis.org/shifting-tactics-at-second-thomas-shoal/
2023-02,chn,phl,применение лазера,"Судно береговой охраны КНР направило лазер военного класса на мостик судна береговой охраны Филиппин, экипаж временно ослеплён.","Asia Maritime Transparency Initiative, CSIS, Shifting Tactics at Second Thomas Shoal",https://amti.csis.org/shifting-tactics-at-second-thomas-shoal/
2023-08,chn,phl,блокирование и водомёт,Береговая охрана КНР заблокировала судно береговой охраны Филиппин и применила водомёт по судну снабжения.,"Asia Maritime Transparency Initiative, CSIS, Tracking Tensions at Second Thomas Shoal",https://amti.csis.org/tracking-tensions-at-second-thomas-shoal/
2023-12,chn,phl,водомёт и столкновение,"Береговая охрана КНР окружила судно снабжения и применила водомёт, произошло столкновение с судном, на борту которого находился начальник штаба вооружённых сил Филиппин.","Congressional Research Service, China-Philippines Tensions in the South China Sea, IF12550",https://www.congress.gov/crs-product/IF12550
2023-12,chn,phl,водомёт у отмели Скарборо,"Береговая охрана КНР применила водомёт по филиппинским судам, доставлявшим припасы рыбакам у отмели Скарборо.","Congressional Research Service, China-Philippines Tensions in the South China Sea, IF12550",https://www.congress.gov/crs-product/IF12550
2024-01,chn,phl,вытеснение рыболовного судна,Береговая охрана КНР вытеснила филиппинское рыболовное судно от отмели Скарборо и вынудила выбросить улов.,"Council on Foreign Relations, Global Conflict Tracker, Territorial Disputes in the South China Sea",https://www.cfr.org/global-conflict-tracker/conflict/territorial-disputes-south-china-sea
2024-03,chn,phl,столкновение и водомёт,"Столкновение судов береговой охраны сторон, водомёт разбил ветровое стекло судна снабжения, четверо членов экипажа получили ранения.","Council on Foreign Relations, Global Conflict Tracker, Territorial Disputes in the South China Sea",https://www.cfr.org/global-conflict-tracker/conflict/territorial-disputes-south-china-sea
2024-06,chn,phl,высадка на борт и повреждение имущества,"Береговая охрана КНР воспрепятствовала снабжению, личный состав высадился на филиппинские лодки, повреждено оборудование связи и навигации, восемь человек ранены.","Council on Foreign Relations, Global Conflict Tracker, Territorial Disputes in the South China Sea",https://www.cfr.org/global-conflict-tracker/conflict/territorial-disputes-south-china-sea
2024-08,chn,phl,таран и блокирование снабжения,"Суда береговой охраны КНР протаранили катера береговой охраны Филиппин у отмели Сабина и воспрепятствовали снабжению стоявшего там филиппинского судна, которое в сентябре покинуло район.","Congressional Research Service, China-Philippines Tensions in the South China Sea, IF12550",https://www.congress.gov/crs-product/IF12550
2024-12,chn,phl,водомёт и навал,"Суда береговой охраны КНР и корабли ВМС НОАК совершили опасные манёвры и применили водомёты против судов береговой охраны и рыболовного ведомства Филиппин у отмели Скарборо, повреждена навигационная антенна.","Foreign Service Institute Республики Филиппины, перечень инцидентов Breaking Waves",https://sites.google.com/mail.fsi.gov.ph/breakingwaves/news/incidents
2025-02,chn,phl,опасное сближение вертолёта,"Вертолёт ВМС НОАК приблизился на три метра к самолёту рыболовного ведомства Филиппин, выполнявшему облёт отмели Скарборо.",Agence France-Presse,https://www.france24.com/en/live-news/20250218-philippine-coast-guard-slams-dangerous-china-helicopter-manoeuvres-1
2025-08,chn,phl,"преследование, водомёт, столкновение","Судно береговой охраны КНР преследовало филиппинский патрульный катер у отмели Скарборо с применением водомёта, при манёвре столкнулось с эсминцем ВМС НОАК.",United States Naval Institute News,https://news.usni.org/2025/08/11/chinese-coast-guard-navy-ships-collide-in-south-china-sea-during-blockade-attempt-against-philippine-forces
2025-09,chn,phl,водомёт и повреждение судна,"Два судна береговой охраны КНР и судно морского ополчения совершили опасные манёвры и применили водомёты против судна рыболовного ведомства Филиппин у отмели Скарборо, судно повреждено, один член экипажа ранен.","Foreign Service Institute Республики Филиппины, перечень инцидентов Breaking Waves",https://sites.google.com/mail.fsi.gov.ph/breakingwaves/news/incidents
