agent,year,key,value,source
usa,2001,milex,587.822,"SIPRI Milex 1949-2025, Constant (2024) US$"
usa,2002,milex,660.012,"SIPRI Milex 1949-2025, Constant (2024) US$"
usa,2003,milex,751.203,"SIPRI Milex 1949-2025, Constant (2024) US$"
usa,2004,milex,818.751,"SIPRI Milex 1949-2025, Constant (2024) US$"
usa,2005,milex,856.462,"SIPRI Milex 1949-2025, Constant (2024) US$"
usa,2006,milex,868.803,"SIPRI Milex 1949-2025, Constant (2024) US$"
usa,2007,milex,891.986,"SIPRI Milex 1949-2025, Constant (2024) US$"
usa,2008,milex,956.872,"SIPRI Milex 1949-2025, Constant (2024) US$"
usa,2009,milex,1032.168,"SIPRI Milex 1949-2025, Constant (2024) US$"
usa,2010,milex,1061.674,"SIPRI Milex 1949-2025, Constant (2024) US$"
usa,2011,milex,1049.103,"SIPRI Milex 1949-2025, Constant (2024) US$"
usa,2012,milex,990.831,"SIPRI Milex 1949-2025, Constant (2024) US$"
usa,2013,milex,914.617,"SIPRI Milex 1949-2025, Constant (2024) US$"
usa,2014,milex,858.357,"SIPRI Milex 1949-2025, Constant (2024) US$"
usa,2015,milex,838.865,"SIPRI Milex 1949-2025, Constant (2024) US$"
usa,2016,milex,836.291,"SIPRI Milex 1949-2025, Constant (2024) US$"
usa,2017,milex,827.674,"SIPRI Milex 1949-2025, Constant (2024) US$"
usa,2018,milex,852.585,"SIPRI Milex 1949-2025, Constant (2024) US$"
usa,2019,milex,901.032,"SIPRI Milex 1949-2025, Constant (2024) US$"
usa,2020,milex,943.447,"SIPRI Milex 1949-2025, Constant (2024) US$"
usa,2021,milex,933.334,"SIPRI Milex 1949-2025, Constant (2024) US$"
usa,2022,milex,922.553,"SIPRI Milex 1949-2025, Constant (2024) US$"
usa,2023,milex,943.033,"SIPRI Milex 1949-2025, Constant (2024) US$"
usa,2024,milex,1004.901,"SIPRI Milex 1949-2025, Constant (2024) US$"
usa,2025,milex,929.163,"SIPRI Milex 1949-2025, Constant (2024) US$"
chn,2001,milex,49.635,"SIPRI Milex 1949-2025, Constant (2024) US$"
chn,2002,milex,57.008,"SIPRI Milex 1949-2025, Constant (2024) US$"
chn,2003,milex,61.696,"SIPRI Milex 1949-2025, Constant (2024) US$"
chn,2004,milex,67.956,"SIPRI Milex 1949-2025, Constant (2024) US$"
chn,2005,milex,74.625,"SIPRI Milex 1949-2025, Constant (2024) US$"
chn,2006,milex,85.898,"SIPRI Milex 1949-2025, Constant (2024) US$"
chn,2007,milex,94.425,"SIPRI Milex 1949-2025, Constant (2024) US$"
chn,2008,milex,103.311,"SIPRI Milex 1949-2025, Constant (2024) US$"
chn,2009,milex,125.361,"SIPRI Milex 1949-2025, Constant (2024) US$"
chn,2010,milex,131.536,"SIPRI Milex 1949-2025, Constant (2024) US$"
chn,2011,milex,141.206,"SIPRI Milex 1949-2025, Constant (2024) US$"
chn,2012,milex,155.714,"SIPRI Milex 1949-2025, Constant (2024) US$"
chn,2013,milex,168.375,"SIPRI Milex 1949-2025, Constant (2024) US$"
chn,2014,milex,181.814,"SIPRI Milex 1949-2025, Constant (2024) US$"
chn,2015,milex,196.088,"SIPRI Milex 1949-2025, Constant (2024) US$"
chn,2016,milex,207.375,"SIPRI Milex 1949-2025, Constant (2024) US$"
chn,2017,milex,220.129,"SIPRI Milex 1949-2025, Constant (2024) US$"
chn,2018,milex,233.024,"SIPRI Milex 1949-2025, Constant (2024) US$"
chn,2019,milex,244.376,"SIPRI Milex 1949-2025, Constant (2024) US$"
chn,2020,milex,255.895,"SIPRI Milex 1949-2025, Constant (2024) US$"
chn,2021,milex,262.559,"SIPRI Milex 1949-2025, Constant (2024) US$"
chn,2022,milex,274.158,"SIPRI Milex 1949-2025, Constant (2024) US$"
chn,2023,milex,292.221,"SIPRI Milex 1949-2025, Constant (2024) US$"
chn,2024,milex,311.9,"SIPRI Milex 1949-2025, Constant (2024) US$"
chn,2025,milex,335.018,"SIPRI Milex 1949-2025, Constant (2024) US$"
