source,target,kind,note
usa,chn,contact,Соприкосновение без неурегулированного спора
usa,jpn,contact,Соприкосновение без неурегулированного спора
usa,twn,contact,Соприкосновение без неурегулированного спора
usa,kor,contact,Соприкосновение без неурегулированного спора
usa,prk,contact,Соприкосновение без неурегулированного спора
usa,ind,contact,Соприкосновение без неурегулированного спора
usa,aus,contact,Соприкосновение без неурегулированного спора
usa,phl,contact,Соприкосновение без неурегулированного спора
usa,idn,contact,Соприкосновение без неурегулированного спора
chn,usa,contact,Соприкосновение без неурегулированного спора
chn,jpn,dispute,Спор о принадлежности островов Сэнкаку
chn,twn,sovereignty,"Притязание КНР на суверенитет над островом, Закон о противодействии расколу страны 2005 г."
chn,kor,contact,Соприкосновение без неурегулированного спора
chn,prk,contact,Соприкосновение без неурегулированного спора
chn,ind,dispute,Неурегулированная линия фактического контроля
chn,aus,contact,Соприкосновение без неурегулированного спора
chn,phl,dispute,"Спор в акваториях Южно-Китайского моря, решение арбитража 2016 г."
chn,idn,dispute,Наложение притязаний КНР на исключительную экономическую зону у островов Натуна
jpn,usa,contact,Соприкосновение без неурегулированного спора
jpn,chn,dispute,Спор о принадлежности островов Сэнкаку
jpn,twn,contact,Соприкосновение без неурегулированного спора
jpn,kor,dispute,Спор о принадлежности островов Такэсима
jpn,prk,contact,Соприкосновение без неурегулированного спора
jpn,ind,contact,Соприкосновение без неурегулированного спора
jpn,aus,contact,Соприкосновение без неурегулированного спора
jpn,phl,contact,Соприкосновение без неурегулированного спора
jpn,idn,contact,Соприкосновение без неурегулированного спора
twn,usa,contact,Соприкосновение без неурегулированного спора
twn,chn,sovereignty,"Взаимное непризнание, конституционные притязания обеих сторон"
twn,jpn,contact,Соприкосновение без неурегулированного спора
twn,kor,none,Прямого морского либо сухопутного соприкосновения нет
twn,prk,none,Прямого морского либо сухопутного соприкосновения нет
twn,ind,none,Прямого морского либо сухопутного соприкосновения нет
twn,aus,none,Прямого морского либо сухопутного соприкосновения нет
twn,phl,contact,Соприкосновение без неурегулированного спора
twn,idn,none,Прямого морского либо сухопутного соприкосновения нет
kor,usa,contact,Соприкосновение без неурегулированного спора
kor,chn,contact,Соприкосновение без неурегулированного спора
kor,jpn,dispute,Спор о принадлежности островов Такэсима
kor,twn,none,Прямого морского либо сухопутного соприкосновения нет
kor,prk,sovereignty,"Взаимное непризнание, единство нации в конституционных актах обеих сторон"
kor,ind,none,Прямого морского либо сухопутного соприкосновения нет
kor,aus,contact,Соприкосновение без неурегулированного спора
kor,phl,contact,Соприкосновение без неурегулированного спора
kor,idn,contact,Соприкосновение без неурегулированного спора
prk,usa,contact,Соприкосновение без неурегулированного спора
prk,chn,contact,Соприкосновение без неурегулированного спора
prk,jpn,contact,Соприкосновение без неурегулированного спора
prk,twn,none,Прямого морского либо сухопутного соприкосновения нет
prk,kor,sovereignty,"Взаимное непризнание, статья 3 Конституции Республики Корея"
prk,ind,none,Прямого морского либо сухопутного соприкосновения нет
prk,aus,none,Прямого морского либо сухопутного соприкосновения нет
prk,phl,none,Прямого морского либо сухопутного соприкосновения нет
prk,idn,none,Прямого морского либо сухопутного соприкосновения нет
ind,usa,contact,Соприкосновение без неурегулированного спора
ind,chn,dispute,Неурегулированная линия фактического контроля
ind,jpn,contact,Соприкосновение без неурегулированного спора
ind,twn,none,Прямого морского либо сухопутного соприкосновения нет
ind,kor,none,Прямого морского либо сухопутного соприкосновения нет
ind,prk,none,Прямого морского либо сухопутного соприкосновения нет
ind,aus,contact,Соприкосновение без неурегулированного спора
ind,phl,none,Прямого морского либо сухопутного соприкосновения нет
ind,idn,none,Прямого морского либо сухопутного соприкосновения нет
aus,usa,contact,Соприкосновение без неурегулированного спора
aus,chn,contact,Соприкосновение без неурегулированного спора
aus,jpn,contact,Соприкосновение без неурегулированного спора
aus,twn,none,Прямого морского либо сухопутного соприкосновения нет
aus,kor,contact,Соприкосновение без неурегулированного спора
aus,prk,none,Прямого морского либо сухопутного соприкосновения нет
aus,ind,contact,Соприкосновение без неурегулированного спора
aus,phl,contact,Соприкосновение без неурегулированного спора
aus,idn,contact,Соприкосновение без неурегулированного спора
phl,usa,contact,Соприкосновение без неурегулированного спора
phl,chn,dispute,"Спор в акваториях Южно-Китайского моря, решение арбитража 2016 г."
phl,jpn,contact,Соприкосновение без неурегулированного спора
phl,twn,contact,Соприкосновение без неурегулированного спора
phl,kor,contact,Соприкосновение без неурегулированного спора
phl,prk,none,Прямого морского либо сухопутного соприкосновения нет
phl,ind,none,Прямого морского либо сухопутного соприкосновения нет
phl,aus,contact,Соприкосновение без неурегулированного спора
phl,idn,contact,Соприкосновение без неурегулированного спора
idn,usa,contact,Соприкосновение без неурегулированного спора
idn,chn,dispute,Наложение притязаний КНР на исключительную экономическую зону у островов Натуна
idn,jpn,contact,Соприкосновение без неурегулированного спора
idn,twn,none,Прямого морского либо сухопутного соприкосновения нет
idn,kor,contact,Соприкосновение без неурегулированного спора
idn,prk,none,Прямого морского либо сухопутного соприкосновения нет
idn,ind,none,Прямого морского либо сухопутного соприкосновения нет
idn,aus,contact,Соприкосновение без неурегулированного спора
idn,phl,contact,Соприкосновение без неурегулированного спора
